93129,47506,29270
94426,54960,55561
37055,50004,72750
80425,87410,25713
92115,74827,88953
96447,57989,5019
19743,80900,23804
16068,69163,58323
4284,94214,85604
21620,35382,61507
42510,66823,18202
17984,86199,46904
50272,74570,55528
86438,42653,59774
9466,49730,97844
956,77740,29407
77341,68599,70943
15289,22320,73603
79327,68393,43029
43455,28588,55417
55982,95224,91318
52005,259,20253
14809,44821,89854
97155,80132,13067
75836,33112,59961
49042,75445,76508
69512,47913,33690
51668,78109,11538
82343,94953,59850
36486,50647,53933
48091,97843,18124
81928,27360,67635
22207,80299,50723
78446,89424,22679
33754,31795,28586
28421,16480,68848
46026,27246,40801
44068,37090,91019
97020,35195,3382
70371,3577,64761
3313,9033,98681
16967,83292,64269
11214,91556,60697
11098,6352,14364
47277,76285,54604
7723,55677,36998
82135,37388,22670
31732,26803,84201
93918,97486,44769
16014,37605,48474
3724,49851,12109
5833,22968,26443
87782,34392,10303
63806,79277,27438
28718,97131,55260
41353,50390,46637
61830,33061,14985
20047,87521,10133
67441,52872,57266
8460,66378,7622
23677,59517,7453
96480,12964,68660
21044,3885,23884
69812,75617,72999
98501,48631,37365
79465,17954,86080
13804,57271,92620
93749,14,14474
39585,19653,77255
94128,79262,53291
6499,713,53786
57797,55787,40866
21034,88031,87522
75233,16780,914
67269,64970,92993
39117,92337,30930
30056,34224,49348
48332,14838,69510
13704,36720,63216
6618,89116,41
15369,81602,36180
39746,23880,33211
59840,33869,99542
34989,66134,15155
47145,60106,78867
23687,65459,36960
42245,75151,61969
29961,61483,10285
36307,54880,31175
48389,67326,65183
21770,96487,30620
4464,84721,93164
17106,41941,63384
33919,93073,825
71913,13452,69446
62608,10733,74426
47651,20231,2404
5540,3588,46906
54110,31913,15149
9653,25911,74806
45284,52707,21211
76223,57814,98481
26603,27126,70448
6293,41740,59703
75310,12193,30960
57483,75947,68878
41928,59218,78293
61281,13052,29535
16294,91265,91368
1640,8508,80442
12056,64196,5518
11739,25885,29199
57663,22769,73489
32757,74577,33662
86997,52619,61243
71623,87777,80610
56416,78689,51129
34553,7955,18915
27648,91359,43149
49123,69780,43613
10720,72632,79295
37886,22832,48666
5715,20155,30892
98799,21322,56914
56892,4652,29567
98996,33811,73409
30192,26649,3536
6833,36316,41354
80873,18440,81247
23292,27297,27883
51705,38558,30949
22720,70313,81518
60411,18994,24958
63477,32290,3172
2476,86465,97775
80324,46050,62082
35010,44900,81846
80343,14020,90477
83291,97217,43738
69617,88950,75458
88565,41836,10135
79398,60258,21046
50825,27279,12544
69269,78894,45318
36722,23240,93002
36087,30044,78600
3452,73789,71450
63180,12276,13852
35426,78156,33032
60920,31419,72501
24438,74131,8271
91879,34810,11637
78151,34918,22192
77144,18034,85640
54337,42988,7082
25655,24957,89573
71607,69787,89706
36217,84367,97130
14558,99251,8681
50402,97866,19186
79659,61163,28577
58552,72223,89371
49670,8508,48554
82129,26610,17140
94327,99061,63975
91603,14212,87784
53785,44665,41327
41260,80542,82930
34084,24896,546
37056,56298,22020
76479,45723,14708
35316,98107,46266
21945,74128,91625
30888,55257,4856
94883,72621,42334
97136,4542,48011
58763,42032,30808
11393,8081,81275
92671,50010,48925
76728,63673,50752
66310,76003,17747
82530,69917,29820
4414,76972,64079
76556,660,21983
26810,93956,86765
54559,71955,92603
88812,1969,45016
83034,30774,13935
23027,31934,73304
6865,88593,53234
59340,97344,21892
79086,83394,93457
79284,72084,92358
84889,88011,73936
71265,86768,865
13657,73891,46856
98320,98460,1433
84596,56655,87765
84488,45991,85076
61267,75997,96810
71986,68995,52884
43928,26699,28940
59493,40045,97952
77362,9212,49641
41688,90837,15200
6207,77976,76624
15276,84659,58713
59731,28568,24097
84489,98519,66527
29673,89560,4490
72822,37418,19474
71602,85112,60261
75899,83010,66771
29617,99662,31925
13649,75647,15642
93677,85571,36221
